label,target,distractor1,distractor2,distractor3,difficulty
ant,images/ant.jpg,images/muffin.jpg,images/raspberry.jpg,images/mint.jpg,0
ball,images/ball.jpg,images/pen.jpg,images/peach.jpg,images/snack.jpg,0
duck,images/duck.jpg,images/tongue.jpg,images/ladder.jpg,images/snake.jpg,0
wheel,images/wheel.jpg,images/fish.jpg,images/bowl.jpg,images/meat.jpg,0
watermelon,images/watermelon.jpg,images/strawberry.jpg,images/screwdriver.jpg,images/crane.jpg,1
fox,images/fox.jpg,images/wolf.jpg,images/reindeer.jpg,images/harmonica.jpg,1
turtle,images/turtle.jpg,images/frog.jpg,images/horse.jpg,images/railing.jpg,1
marshmallow,images/marshmallow.jpg,images/snowball.jpg,images/dryer.jpg,images/rooster.jpg,1
sunflower,images/sunflower.jpg,images/pineapple.jpg,images/rim.jpg,images/pinball.jpg,1
lollipop,images/lollipop.jpg,images/candy.jpg,images/doorbell.jpg,images/crumb.jpg,1
teapot,images/teapot.jpg,images/teacup.jpg,images/brake.jpg,images/bookmark.jpg,1
cake,images/cake.jpg,images/dessert.jpg,images/refrigerator.jpg,images/battery.jpg,1
footbath,images/footbath.jpg,images/trough.jpg,images/vest.jpg,images/rhinoceros.jpg,1
squirrel,images/squirrel.jpg,images/monkey.jpg,images/eagle.jpg,images/shorts.jpg,1
pie,images/pie.jpg,images/pizza.jpg,images/flashlight.jpg,images/sweater.jpg,1
carrot,images/carrot.jpg,images/vegetable.jpg,images/phone.jpg,images/bathtub.jpg,1
sink,images/sink.jpg,images/toilet.jpg,images/stair.jpg,images/knitting.jpg,1
rice,images/rice.jpg,images/dice.jpg,images/box.jpg,images/bedpost.jpg,1
telescope,images/telescope.jpg,images/tripod.jpg,images/windshield.jpg,images/anklet.jpg,1
potato,images/potato.jpg,images/pot.jpg,images/glasses.jpg,images/dragonfly.jpg,1
squash,images/squash.jpg,images/pumpkin.jpg,images/branch.jpg,images/gazelle.jpg,1
fan,images/fan.jpg,images/album.jpg,images/boulder.jpg,images/chipmunk.jpg,1
shower,images/shower.jpg,images/soap.jpg,images/toe.jpg,images/cantaloupe.jpg,1
hedgehog,images/hedgehog.jpg,images/owl.jpg,images/iguana.jpg,images/dumbwaiter.jpg,1
acorn,images/acorn.jpg,images/coconut.jpg,images/key.jpg,images/clothesline.jpg,1
map,images/map.jpg,images/marker.jpg,images/ruby.jpg,images/dishwasher.jpg,1
blender,images/blender.jpg,images/blind.jpg,images/mailbox.jpg,images/trampoline.jpg,1
turkey,images/turkey.jpg,images/goat.jpg,images/swan.jpg,images/pencil.jpg,1
ship,images/ship.jpg,images/boat.jpg,images/nose.jpg,images/zucchini.jpg,1
bulldozer,images/bulldozer.jpg,images/tractor.jpg,images/orange.jpg,images/eggplant.jpg,1
pump,images/pump.jpg,images/plug.jpg,images/coat.jpg,images/scarf.jpg,1
blower,images/blower.jpg,images/burner.jpg,images/buggy.jpg,images/papaya.jpg,2
sloth,images/sloth.jpg,images/donkey.jpg,images/clam.jpg,images/incense.jpg,2
koala,images/koala.jpg,images/panda.jpg,images/bee.jpg,images/backscratcher.jpg,2
hamster,images/hamster.jpg,images/rabbit.jpg,images/tadpole.jpg,images/skirt.jpg,2
elbow,images/elbow.jpg,images/arm.jpg,images/bed.jpg,images/gorilla.jpg,2
cornbread,images/cornbread.jpg,images/corn.jpg,images/wreath.jpg,images/organ.jpg,2
hopscotch,images/hopscotch.jpg,images/chalk.jpg,images/funnel.jpg,images/jug.jpg,2
treasure,images/treasure.jpg,images/gift.jpg,images/rope.jpg,images/lamp.jpg,2
fruitcake,images/fruitcake.jpg,images/fudge.jpg,images/dough.jpg,images/anvil.jpg,2
seagull,images/seagull.jpg,images/pigeon.jpg,images/lobster.jpg,images/perfume.jpg,2
oil,images/oil.jpg,images/gel.jpg,images/grain.jpg,images/bassinet.jpg,2
snail,images/snail.jpg,images/worm.jpg,images/cow.jpg,images/visor.jpg,2
sprinkler,images/sprinkler.jpg,images/sparkler.jpg,images/flower.jpg,images/charcoal.jpg,2
trumpet,images/trumpet.jpg,images/flute.jpg,images/violin.jpg,images/coleslaw.jpg,2
ski,images/ski.jpg,images/ice.jpg,images/suitcase.jpg,images/pincushion.jpg,2
waterwheel,images/waterwheel.jpg,images/pinwheel.jpg,images/target.jpg,images/boa.jpg,2
oatmeal,images/oatmeal.jpg,images/cereal.jpg,images/collar.jpg,images/aquarium.jpg,2
net,images/net.jpg,images/tee.jpg,images/domino.jpg,images/hydrant.jpg,2
scoop,images/scoop.jpg,images/sauce.jpg,images/statue.jpg,images/cauliflower.jpg,2
locker,images/locker.jpg,images/cabinet.jpg,images/basket.jpg,images/gargoyle.jpg,2
puddle,images/puddle.jpg,images/bubble.jpg,images/baseball.jpg,images/salami.jpg,2
bamboo,images/bamboo.jpg,images/lumber.jpg,images/yacht.jpg,images/apron.jpg,2
teabag,images/teabag.jpg,images/tea.jpg,images/fingerprint.jpg,images/braid.jpg,2
sandbag,images/sandbag.jpg,images/sandpaper.jpg,images/valve.jpg,images/octopus.jpg,2
carousel,images/carousel.jpg,images/carriage.jpg,images/dish.jpg,images/melon.jpg,2
dumpling,images/dumpling.jpg,images/meatball.jpg,images/rocket.jpg,images/coyote.jpg,2
headdress,images/headdress.jpg,images/crown.jpg,images/poster.jpg,images/mango.jpg,2
barrel,images/barrel.jpg,images/bucket.jpg,images/shelf.jpg,images/anteater.jpg,3
buffet,images/buffet.jpg,images/counter.jpg,images/crib.jpg,images/rhubarb.jpg,3
spatula,images/spatula.jpg,images/paddle.jpg,images/lava.jpg,images/pheasant.jpg,3
saddle,images/saddle.jpg,images/handle.jpg,images/figurine.jpg,images/broccoli.jpg,3
clothespin,images/clothespin.jpg,images/toothpick.jpg,images/volleyball.jpg,images/fondue.jpg,3
stretcher,images/stretcher.jpg,images/drill.jpg,images/thermostat.jpg,images/vase.jpg,3
pistachio,images/pistachio.jpg,images/avocado.jpg,images/taco.jpg,images/bagpipe.jpg,3
gondola,images/gondola.jpg,images/trolley.jpg,images/clipboard.jpg,images/charger.jpg,3
otter,images/otter.jpg,images/beaver.jpg,images/goose.jpg,images/tablecloth.jpg,3
taillight,images/taillight.jpg,images/bumper.jpg,images/luggage.jpg,images/sushi.jpg,3
stump,images/stump.jpg,images/log.jpg,images/bookshelf.jpg,images/showerhead.jpg,3
horn,images/horn.jpg,images/bone.jpg,images/chin.jpg,images/ladybug.jpg,3
foam,images/foam.jpg,images/float.jpg,images/quilt.jpg,images/asparagus.jpg,3
pajamas,images/pajamas.jpg,images/pants.jpg,images/cage.jpg,images/groundhog.jpg,3
typewriter,images/typewriter.jpg,images/printer.jpg,images/sunglasses.jpg,images/drumstick.jpg,3
silverware,images/silverware.jpg,images/trophy.jpg,images/garlic.jpg,images/eggnog.jpg,3
omelet,images/omelet.jpg,images/pancake.jpg,images/clay.jpg,images/trunk.jpg,3
latch,images/latch.jpg,images/lock.jpg,images/microwave.jpg,images/umbrella.jpg,3
hoe,images/hoe.jpg,images/peg.jpg,images/dustpan.jpg,images/beaker.jpg,3
caramel,images/caramel.jpg,images/amber.jpg,images/olive.jpg,images/warthog.jpg,3
cork,images/cork.jpg,images/jersey.jpg,images/skateboard.jpg,images/mascara.jpg,3
mandolin,images/mandolin.jpg,images/gourd.jpg,images/mast.jpg,images/seismograph.jpg,3
cassette,images/cassette.jpg,images/tape.jpg,images/book.jpg,images/hammock.jpg,3
antenna,images/antenna.jpg,images/stem.jpg,images/pinecone.jpg,images/backgammon.jpg,3
freezer,images/freezer.jpg,images/cooler.jpg,images/nest.jpg,images/binoculars.jpg,3
artichoke,images/artichoke.jpg,images/leek.jpg,images/sunroof.jpg,images/cello.jpg,3
tulip,images/tulip.jpg,images/rose.jpg,images/glove.jpg,images/hubcap.jpg,3
cymbal,images/cymbal.jpg,images/mallet.jpg,images/kaleidoscope.jpg,images/ferry.jpg,4
stew,images/stew.jpg,images/soup.jpg,images/mixer.jpg,images/orchid.jpg,4
bouquet,images/bouquet.jpg,images/centerpiece.jpg,images/bandanna.jpg,images/submarine.jpg,4
gutter,images/gutter.jpg,images/filter.jpg,images/almond.jpg,images/porthole.jpg,4
prism,images/prism.jpg,images/radar.jpg,images/subway.jpg,images/chinchilla.jpg,4
sorbet,images/sorbet.jpg,images/palette.jpg,images/tamale.jpg,images/chive.jpg,4
tapestry,images/tapestry.jpg,images/backdrop.jpg,images/leggings.jpg,images/forklift.jpg,4
prune,images/prune.jpg,images/raisin.jpg,images/headrest.jpg,images/jukebox.jpg,4
kimono,images/kimono.jpg,images/cardigan.jpg,images/turntable.jpg,images/cable.jpg,4
flan,images/flan.jpg,images/fuse.jpg,images/amplifier.jpg,images/turnstile.jpg,4
cloak,images/cloak.jpg,images/hood.jpg,images/cinnamon.jpg,images/jellyfish.jpg,4
coaster,images/coaster.jpg,images/card.jpg,images/painting.jpg,images/hummingbird.jpg,4
tuxedo,images/tuxedo.jpg,images/suit.jpg,images/stroller.jpg,images/moccasin.jpg,4
parsley,images/parsley.jpg,images/basil.jpg,images/tiara.jpg,images/kayak.jpg,4
turbine,images/turbine.jpg,images/generator.jpg,images/tab.jpg,images/pesto.jpg,4
cheese,images/cheese.jpg,images/butter.jpg,images/mud.jpg,images/hippopotamus.jpg,4
scaffolding,images/scaffolding.jpg,images/satellite.jpg,images/veil.jpg,images/antelope.jpg,4
pitcher,images/pitcher.jpg,images/batter.jpg,images/tumbleweed.jpg,images/medal.jpg,4
corset,images/corset.jpg,images/harness.jpg,images/mantle.jpg,images/bonsai.jpg,4
thermos,images/thermos.jpg,images/oilcan.jpg,images/firewood.jpg,images/coral.jpg,4
sauerkraut,images/sauerkraut.jpg,images/potpourri.jpg,images/dashboard.jpg,images/clove.jpg,4
swordfish,images/swordfish.jpg,images/catfish.jpg,images/leopard.jpg,images/graffiti.jpg,4
aloe,images/aloe.jpg,images/cactus.jpg,images/bracket.jpg,images/banner.jpg,4
grate,images/grate.jpg,images/crate.jpg,images/reel.jpg,images/tuba.jpg,4
mulch,images/mulch.jpg,images/compost.jpg,images/clarinet.jpg,images/lantern.jpg,4
candlestick,images/candlestick.jpg,images/candle.jpg,images/egg.jpg,images/orangutan.jpg,4
bobsled,images/bobsled.jpg,images/sidecar.jpg,images/dip.jpg,images/cilantro.jpg,4
